Country,Date,Confirmed,Deaths,Recovered,Recover Rate,Death Rate
Belgium,43921,12775,705,1696,0.132759295,0.05518591
Belize,43913,1,,,0,0
Belize,43914,1,,,0,0
Belize,43915,2,,,0,0
Belize,43916,2,,,0,0
Belize,43917,2,,,0,0
Belize,43918,2,,,0,0
Belize,43919,2,,,0,0
Belize,43920,3,,,0,0
Belize,43921,3,,,0,0
Benin,43906,1,,,0,0
Benin,43907,1,,,0,0
Benin,43908,2,,,0,0
Benin,43909,2,,,0,0
Benin,43910,2,,,0,0
Benin,43911,2,,,0,0
Benin,43912,2,,,0,0
Benin,43913,5,,,0,0
Benin,43914,6,,,0,0
Benin,43915,6,,,0,0
Benin,43916,6,,,0,0
Benin,43917,6,,,0,0
Benin,43918,6,,,0,0
Benin,43919,6,,,0,0
Benin,43920,6,,,0,0
Benin,43921,9,,1,0.111111111,0
Bhutan,43896,1,,,0,0
Bhutan,43897,1,,,0,0
Bhutan,43898,1,,,0,0
Bhutan,43899,1,,,0,0
Bhutan,43900,1,,,0,0
Bhutan,43901,1,,,0,0
Bhutan,43902,1,,,0,0
Bhutan,43903,1,,,0,0
Bhutan,43904,1,,,0,0
Bhutan,43905,1,,,0,0
Bhutan,43906,1,,,0,0
Bhutan,43907,1,,,0,0
Bhutan,43908,1,,,0,0
Bhutan,43909,1,,,0,0
Bhutan,43910,2,,,0,0
Bhutan,43911,2,,,0,0
Bhutan,43912,2,,,0,0
Bhutan,43913,2,,,0,0
Bhutan,43914,2,,,0,0
Bhutan,43915,2,,,0,0
Bhutan,43916,2,,,0,0
Bhutan,43917,3,,,0,0
Bhutan,43918,3,,,0,0
Bhutan,43919,4,,,0,0
Bhutan,43920,4,,,0,0
Bhutan,43921,4,,,0,0
Bolivia,43901,2,,,0,0
Bolivia,43902,2,,,0,0
Bolivia,43903,3,,,0,0
Bolivia,43904,10,,,0,0
Bolivia,43905,10,,,0,0
Bolivia,43906,11,,,0,0
Bolivia,43907,11,,,0,0
Bolivia,43908,12,,,0,0
Bolivia,43909,12,,,0,0
Bolivia,43910,15,,,0,0
Bolivia,43911,19,,,0,0
Bolivia,43912,24,,,0,0
Bolivia,43913,27,,,0,0
Bolivia,43914,29,,,0,0
Bolivia,43915,32,,,0,0
Bolivia,43916,43,,,0,0
Bolivia,43917,61,,,0,0
Bolivia,43918,74,,,0,0
Bolivia,43919,81,1,,0,0.012345679
Bolivia,43920,97,4,,0,0.041237113
Bolivia,43921,107,6,,0,0.056074766
Bosnia and Herzegovina,43895,2,,,0,0
Bosnia and Herzegovina,43896,2,,,0,0
Bosnia and Herzegovina,43897,3,,,0,0
Bosnia and Herzegovina,43898,3,,,0,0
